page_id,score,lines,blocks,scripts,layout,density,noise,family,has_table,mask_text_nonzero,flags,script_hist
"000044","184","53","12","7","single_col","sparse","clean","report","True","273427","table;multilingual;layout=single_col;density=sparse;noise=clean;family=report","{""latin"": 35, ""el"": 5, ""he"": 2, ""zh"": 2, ""hi"": 3, ""ar"": 3, ""ru"": 1}"
"000063","184","46","17","6","single_col","sparse","clean","report","True","125305","table;multilingual;layout=single_col;density=sparse;noise=clean;family=report","{""latin"": 36, ""ru"": 2, ""ar"": 2, ""zh"": 2, ""el"": 3, ""ko"": 1}"
"000067","184","50","13","7","single_col","sparse","clean","notes","True","107389","table;multilingual;layout=single_col;density=sparse;noise=clean;family=notes","{""latin"": 37, ""ru"": 4, ""ar"": 3, ""el"": 3, ""ko"": 1, ""he"": 1, ""zh"": 1}"
"000097","184","56","11","7","single_col","sparse","medium","book","True","302660","table;multilingual;layout=single_col;density=sparse;noise=medium;family=book","{""ar"": 2, ""latin"": 38, ""ru"": 5, ""hi"": 4, ""el"": 4, ""he"": 1, ""zh"": 1}"
"000050","181","63","7","6","single_col","normal","clean","worksheet","True","71745","table;multilingual;layout=single_col;density=normal;noise=clean;family=worksheet","{""latin"": 55, ""ru"": 3, ""ar"": 2, ""el"": 1, ""th"": 1, ""he"": 1}"
"000096","181","52","8","7","double_col","normal","clean","academic","True","207496","table;multilingual;layout=double_col;density=normal;noise=clean;family=academic","{""he"": 2, ""latin"": 36, ""hi"": 3, ""ar"": 4, ""zh"": 3, ""ru"": 1, ""ko"": 3}"
"000048","180","68","11","5","single_col","sparse","medium","book","True","98702","table;multilingual;layout=single_col;density=sparse;noise=medium;family=book","{""latin"": 57, ""ru"": 8, ""el"": 1, ""zh"": 1, ""ar"": 1}"
"000090","180","55","10","7","single_col","sparse","medium","report","True","81107","table;multilingual;layout=single_col;density=sparse;noise=medium;family=report","{""latin"": 39, ""el"": 3, ""ar"": 4, ""ru"": 4, ""ko"": 2, ""ja"": 2, ""th"": 1}"
"000038","178","60","7","6","single_col","normal","clean","worksheet","True","110165","table;multilingual;layout=single_col;density=normal;noise=clean;family=worksheet","{""latin"": 50, ""ko"": 1, ""el"": 2, ""th"": 1, ""ru"": 4, ""ar"": 1}"
"000079","178","47","9","10","single_col","normal","medium","book","False","469982","multilingual;layout=single_col;density=normal;noise=medium;family=book","{""ja"": 1, ""latin"": 23, ""th"": 2, ""ko"": 3, ""hi"": 1, ""ar"": 2, ""el"": 4, ""ru"": 2, ""zh"": 2, ""he"": 1}"
"000004","177","67","7","5","single_col","normal","clean","worksheet","True","56746","table;multilingual;layout=single_col;density=normal;noise=clean;family=worksheet","{""latin"": 60, ""el"": 3, ""ru"": 2, ""ar"": 1, ""zh"": 1}"
"000040","177","38","12","8","double_col","sparse","clean","worksheet","True","61813","table;multilingual;layout=double_col;density=sparse;noise=clean;family=worksheet","{""latin"": 25, ""he"": 2, ""zh"": 1, ""ru"": 3, ""hi"": 1, ""ko"": 1, ""el"": 4, ""ar"": 1}"
"000046","177","65","8","8","double_col","normal","medium","report","False","165110","multilingual;layout=double_col;density=normal;noise=medium;family=report","{""latin"": 31, ""ko"": 3, ""ru"": 6, ""he"": 4, ""ar"": 2, ""ja"": 1, ""el"": 4, ""zh"": 1}"
"000065","177","34","10","8","single_col","normal","clean","worksheet","True","67236","table;multilingual;layout=single_col;density=normal;noise=clean;family=worksheet","{""ja"": 1, ""ru"": 2, ""latin"": 21, ""ar"": 3, ""zh"": 1, ""el"": 4, ""ko"": 1, ""hi"": 1}"
"000088","174","60","9","6","single_col","sparse","clean","book","True","107549","table;multilingual;layout=single_col;density=sparse;noise=clean;family=book","{""hi"": 2, ""latin"": 49, ""ko"": 1, ""ar"": 4, ""el"": 2, ""ru"": 2}"
"000035","173","44","8","7","single_col","normal","medium","report","True","128193","table;multilingual;layout=single_col;density=normal;noise=medium;family=report","{""latin"": 35, ""he"": 2, ""ja"": 1, ""ar"": 2, ""ru"": 2, ""hi"": 1, ""zh"": 1}"
"000082","172","58","6","9","double_col","normal","clean","academic","False","252436","multilingual;layout=double_col;density=normal;noise=clean;family=academic","{""latin"": 36, ""ru"": 3, ""hi"": 4, ""zh"": 3, ""el"": 4, ""ar"": 2, ""ko"": 1, ""th"": 1, ""he"": 1}"
"000084","172","84","3","5","single_col","sparse","medium","report","True","207702","table;multilingual;layout=single_col;density=sparse;noise=medium;family=report","{""latin"": 60, ""ar"": 7, ""el"": 3, ""zh"": 4, ""ru"": 7}"
"000087","172","68","11","5","mixed_cols","sparse","clean","worksheet","True","93907","table;multilingual;layout=mixed_cols;density=sparse;noise=clean;family=worksheet","{""latin"": 50, ""el"": 6, ""ar"": 8, ""hi"": 1, ""ru"": 3}"
"000078","169","57","11","5","double_col","sparse","medium","worksheet","True","78701","table;multilingual;layout=double_col;density=sparse;noise=medium;family=worksheet","{""latin"": 48, ""ar"": 2, ""he"": 2, ""ru"": 2, ""el"": 3}"
"000091","169","51","9","6","double_col","normal","heavy","book","True","214923","table;multilingual;layout=double_col;density=normal;noise=heavy;family=book","{""latin"": 36, ""hi"": 4, ""ru"": 7, ""el"": 1, ""th"": 1, ""he"": 1}"
"000076","168","65","8","6","mixed_cols","sparse","clean","academic","True","64556","table;multilingual;layout=mixed_cols;density=sparse;noise=clean;family=academic","{""latin"": 51, ""ar"": 5, ""el"": 2, ""ru"": 5, ""zh"": 1, ""ko"": 1}"
"000099","167","44","11","9","double_col","normal","heavy","academic","False","241388","multilingual;layout=double_col;density=normal;noise=heavy;family=academic","{""zh"": 4, ""ru"": 2, ""latin"": 23, ""ar"": 4, ""ko"": 4, ""el"": 2, ""he"": 2, ""hi"": 1, ""th"": 1}"
"000073","166","44","12","9","single_col","sparse","medium","notes","False","362283","multilingual;layout=single_col;density=sparse;noise=medium;family=notes","{""latin"": 26, ""ru"": 1, ""th"": 2, ""ar"": 2, ""ko"": 1, ""zh"": 1, ""he"": 2, ""el"": 1, ""hi"": 1}"
"000075","165","36","11","9","single_col","normal","clean","worksheet","False","157008","multilingual;layout=single_col;density=normal;noise=clean;family=worksheet","{""latin"": 16, ""he"": 5, ""ar"": 1, ""ko"": 1, ""zh"": 2, ""el"": 2, ""th"": 1, ""ru"": 2, ""hi"": 2}"
"000042","164","37","10","6","single_col","normal","clean","report","True","136101","table;multilingual;layout=single_col;density=normal;noise=clean;family=report","{""latin"": 26, ""zh"": 1, ""ru"": 4, ""el"": 2, ""ar"": 3, ""ko"": 1}"
"000007","163","50","11","7","double_col","normal","clean","notes","False","245057","multilingual;layout=double_col;density=normal;noise=clean;family=notes","{""latin"": 32, ""zh"": 2, ""ko"": 3, ""ru"": 6, ""el"": 2, ""th"": 2, ""hi"": 1}"
"000047","162","55","9","7","double_col","normal","clean","academic","False","175608","multilingual;layout=double_col;density=normal;noise=clean;family=academic","{""latin"": 33, ""hi"": 2, ""he"": 6, ""ko"": 4, ""ar"": 2, ""ru"": 3, ""el"": 2}"
"000083","160","32","11","7","single_col","sparse","clean","notes","True","86374","table;multilingual;layout=single_col;density=sparse;noise=clean;family=notes","{""latin"": 21, ""ar"": 2, ""ru"": 4, ""hi"": 1, ""zh"": 2, ""he"": 1, ""th"": 1}"
"000009","159","37","14","7","single_col","normal","medium","book","False","425280","multilingual;layout=single_col;density=normal;noise=medium;family=book","{""latin"": 22, ""he"": 1, ""ru"": 5, ""el"": 1, ""zh"": 3, ""ar"": 3, ""hi"": 1}"
"000023","156","39","15","6","single_col","dense","clean","book","False","414144","multilingual;layout=single_col;density=dense;noise=clean;family=book","{""he"": 1, ""latin"": 29, ""ko"": 2, ""el"": 4, ""zh"": 2, ""ru"": 1}"
"000010","155","51","11","4","single_col","sparse","medium","worksheet","True","85138","table;multilingual;layout=single_col;density=sparse;noise=medium;family=worksheet","{""latin"": 41, ""ar"": 4, ""el"": 5, ""ru"": 1}"
"000039","155","37","10","8","single_col","normal","medium","worksheet","False","248095","multilingual;layout=single_col;density=normal;noise=medium;family=worksheet","{""latin"": 19, ""ko"": 3, ""he"": 1, ""ar"": 3, ""hi"": 1, ""el"": 2, ""ja"": 2, ""zh"": 3}"
"000049","155","34","11","8","single_col","normal","clean","worksheet","False","398047","multilingual;layout=single_col;density=normal;noise=clean;family=worksheet","{""latin"": 20, ""ru"": 3, ""el"": 3, ""zh"": 3, ""hi"": 1, ""ar"": 1, ""th"": 1, ""ko"": 1}"
"000033","152","37","12","5","single_col","sparse","clean","book","True","100227","table;multilingual;layout=single_col;density=sparse;noise=clean;family=book","{""latin"": 31, ""zh"": 2, ""el"": 1, ""th"": 1, ""ar"": 2}"
"000018","151","33","10","8","single_col","normal","clean","worksheet","False","290004","multilingual;layout=single_col;density=normal;noise=clean;family=worksheet","{""ru"": 2, ""zh"": 3, ""ar"": 1, ""latin"": 18, ""ja"": 1, ""hi"": 2, ""ko"": 1, ""he"": 1}"
"000024","151","25","10","9","double_col","normal","clean","academic","False","190624","multilingual;layout=double_col;density=normal;noise=clean;family=academic","{""latin"": 15, ""ru"": 1, ""zh"": 1, ""th"": 1, ""ko"": 1, ""hi"": 1, ""el"": 2, ""he"": 2, ""ar"": 1}"
"000041","151","35","7","8","mixed_cols","sparse","medium","notes","True","102148","table;multilingual;layout=mixed_cols;density=sparse;noise=medium;family=notes","{""latin"": 23, ""ar"": 3, ""zh"": 1, ""hi"": 1, ""ru"": 3, ""he"": 1, ""el"": 2, ""th"": 1}"
"000037","149","61","3","5","single_col","sparse","clean","worksheet","True","87015","table;multilingual;layout=single_col;density=sparse;noise=clean;family=worksheet","{""latin"": 52, ""ar"": 3, ""el"": 2, ""ru"": 3, ""ko"": 1}"
"000081","148","35","11","7","single_col","normal","medium","report","False","288853","multilingual;layout=single_col;density=normal;noise=medium;family=report","{""latin"": 25, ""zh"": 1, ""ar"": 1, ""ru"": 2, ""hi"": 2, ""el"": 2, ""ja"": 1}"
"000014","147","33","9","6","single_col","sparse","medium","notes","True","111957","table;multilingual;layout=single_col;density=sparse;noise=medium;family=notes","{""latin"": 21, ""ru"": 5, ""zh"": 2, ""ar"": 3, ""ja"": 1, ""el"": 1}"
"000069","147","39","4","9","single_col","normal","medium","book","False","470574","multilingual;layout=single_col;density=normal;noise=medium;family=book","{""latin"": 21, ""he"": 3, ""hi"": 4, ""ko"": 2, ""ru"": 1, ""el"": 2, ""ar"": 1, ""zh"": 2, ""th"": 1}"
"000070","146","33","11","7","single_col","normal","medium","report","False","301606","multilingual;layout=single_col;density=normal;noise=medium;family=report","{""th"": 3, ""latin"": 19, ""ar"": 3, ""he"": 2, ""ko"": 3, ""zh"": 2, ""el"": 1}"
"000062","143","29","11","4","single_col","normal","medium","worksheet","True","60829","table;multilingual;layout=single_col;density=normal;noise=medium;family=worksheet","{""latin"": 24, ""ru"": 3, ""th"": 1, ""el"": 1}"
"000013","136","28","12","6","single_col","normal","clean","notes","False","294353","multilingual;layout=single_col;density=normal;noise=clean;family=notes","{""latin"": 15, ""ko"": 2, ""el"": 1, ""ru"": 3, ""hi"": 1, ""zh"": 2}"
"000008","134","26","12","7","mixed_cols","normal","clean","report","False","380346","multilingual;layout=mixed_cols;density=normal;noise=clean;family=report","{""latin"": 15, ""zh"": 3, ""ru"": 2, ""he"": 1, ""el"": 1, ""hi"": 2, ""ko"": 2}"
"000061","131","31","4","8","single_col","normal","clean","report","False","231253","multilingual;layout=single_col;density=normal;noise=clean;family=report","{""ru"": 1, ""latin"": 19, ""ko"": 4, ""zh"": 1, ""he"": 2, ""ar"": 1, ""hi"": 1, ""ja"": 1}"
"000005","130","26","8","7","single_col","normal","clean","worksheet","False","190980","multilingual;layout=single_col;density=normal;noise=clean;family=worksheet","{""latin"": 13, ""ar"": 2, ""hi"": 2, ""ru"": 2, ""zh"": 1, ""th"": 1, ""he"": 1}"
"000058","127","31","8","6","single_col","normal","clean","book","False","331964","multilingual;layout=single_col;density=normal;noise=clean;family=book","{""zh"": 3, ""he"": 3, ""latin"": 20, ""ko"": 2, ""ru"": 2, ""el"": 1}"
"000032","126","13","11","7","single_col","normal","medium","book","False","112748","multilingual;layout=single_col;density=normal;noise=medium;family=book","{""latin"": 7, ""zh"": 1, ""el"": 1, ""ja"": 1, ""ar"": 1, ""th"": 1, ""ru"": 1}"
"000056","122","31","4","5","single_col","sparse","clean","notes","True","65156","table;multilingual;layout=single_col;density=sparse;noise=clean;family=notes","{""latin"": 26, ""ar"": 2, ""ru"": 1, ""he"": 1, ""zh"": 1}"
"000071","121","51","5","3","mixed_cols","sparse","medium","notes","True","55122","table;layout=mixed_cols;density=sparse;noise=medium;family=notes","{""latin"": 44, ""el"": 4, ""ru"": 3}"
"000052","120","18","10","6","single_col","normal","clean","book","False","205412","multilingual;layout=single_col;density=normal;noise=clean;family=book","{""ar"": 2, ""he"": 1, ""th"": 2, ""ru"": 1, ""latin"": 11, ""zh"": 1}"
"000060","119","41","5","4","mixed_cols","sparse","clean","worksheet","True","67704","table;multilingual;layout=mixed_cols;density=sparse;noise=clean;family=worksheet","{""latin"": 34, ""ru"": 2, ""ar"": 2, ""el"": 3}"
"000068","108","19","3","7","single_col","normal","medium","notes","False","138483","multilingual;layout=single_col;density=normal;noise=medium;family=notes","{""latin"": 11, ""ko"": 1, ""zh"": 1, ""he"": 2, ""el"": 1, ""ru"": 2, ""ar"": 1}"
"000051","83","14","5","5","double_col","sparse","medium","academic","False","61812","multilingual;layout=double_col;density=sparse;noise=medium;family=academic","{""ru"": 1, ""latin"": 10, ""ko"": 1, ""el"": 1, ""ar"": 1}"
"000030","-1","7","2","4","single_col","sparse","medium","worksheet","False","71727","too_few_lines;multilingual;layout=single_col;density=sparse;noise=medium;family=worksheet","{""latin"": 3, ""hi"": 2, ""el"": 1, ""he"": 1}"
"000000","-145","1","0","0","single_col","sparse","clean","report","False","96100","too_few_lines;too_few_blocks;fallback;layout=single_col;density=sparse;noise=clean;family=report","{}"
"000020","-145","1","0","0","single_col","sparse","clean","report","False","96100","too_few_lines;too_few_blocks;fallback;layout=single_col;density=sparse;noise=clean;family=report","{}"
"000029","-145","1","0","0","single_col","sparse","clean","report","False","96100","too_few_lines;too_few_blocks;fallback;layout=single_col;density=sparse;noise=clean;family=report","{}"
